"Name","Invert_Elev","MaxDepth","InitDepth","SurDepth","Aponded"
45745,1025.7590867,0,0,0,0
46467,1008.398296,4.4,0,0,4.4
46468,1003.9553658,4.1,0,0,4.1
46477,1025.3055823,4.6,0,0,4.6
46478,1025.5364237,9.2,0,0,9.2
46479,1025.3987459,0,0,0,0
46513,847.7821346,8.5,0,0,8.5
46514,912.0159603,5,0,0,5
46515,907.8454586,0,0,0,0
46516,951.940704,0,0,0,0
46517,941.4474636,0,0,0,0
46532,962.1358524,6,0,0,6
46533,976.2139011,4.8,0,0,4.8
46534,569.1257626,6,0,0,6
46590,528.9020077,5.7,0,0,5.7
46591,462.5565792,5.6,0,0,5.6
46595,813.5837856,0,0,0,0
46606,1025.0177006,0,0,0,0
46619,203.7751461,7.8,0,0,7.8
46620,227.7019039,5,0,0,5
46621,164.9501949,4,0,0,4
46771,219.5947872,0,0,0,0
47148,809.7905727,0,0,0,0
47426,1008.4261166,0,0,0,0
47469,912.4490353,0,0,0,0
47476,347.432983,7.2,0,0,7.2
47515,1024.70168,0,0,0,0
47528,675.5980221,10.9,0,0,10.9
47537,180.6636349,0,0,0,0
47569,725.9576107,0,0,0,0
47744,125.8765865,0,0,0,0
47745,79.3783566000001,7,0,0,7
47746,179.1885372,0,0,0,0
48341,992.2501637,6.7,0,0,6.7
48342,1017.7361513,0,0,0,0
48347,1025.3048171,6.1,0,0,6.1
48348,1014.9864241,0,0,0,0
48394,877.194305,4.4,0,0,4.4
48395,819.4144741,5.1,0,0,5.1
48396,956.3297878,4.3,0,0,4.3
48404,974.2912365,7.1,0,0,7.1
48405,933.0733791,5.2,0,0,5.2
48406,489.6076046,0,0,0,0
48465,970.0368153,10.8,0,0,10.8
48473,173.4442135,6,0,0,6
48614,336.4304195,0,0,0,0
48968,954.3301693,0,0,0,0
49223,992.2500759,5.9,0,0,5.9
49231,1025.8503177,0,0,0,0
49270,829.2066799,5.8,0,0,5.8
49271,809.3951412,5,0,0,5
49272,914.3198162,4,0,0,4
49343,814.4170834,0,0,0,0
49364,244.4978024,0,0,0,0
49390,755.9773861,0,0,0,0
49508,374.6286007,0,0,0,0
49564,145.50415,0,0,0,0
50186,1023.6304353,0,0,0,0
50187,1025.7853698,0,0,0,0
50190,835.8567349,0,0,0,0
50229,843.6792599,6.5,0,0,6.5
50230,777.2590939,4.7,0,0,4.7
50231,780.89772,5,0,0,5
50232,930.6567913,0,0,0,0
50233,937.8201748,8.3,0,0,8.3
50234,941.7722622,4.3,0,0,4.3
50235,946.1639858,7.4,0,0,7.4
50236,961.3225094,5.3,0,0,5.3
50247,1001.033136,6.1,0,0,6.1
50248,478.1928707,0,0,0,0
50249,369.1852413,0,0,0,0
50322,128.5316769,5,0,0,5
50323,90.3267819000001,5.6,0,0,5.6
50333,223.6133419,4.6,0,0,4.6
50337,688.1027218,0,0,0,0
50356,733.510284,0,0,0,0
50357,689.9660641,0,0,0,0
50374,990.9794956,0,0,0,0
50471,448.8207394,0,0,0,0
50629,974.2465664,0,0,0,0
51081,991.0773693,4,0,0,4
51082,1014.138476,0,0,0,0
51090,1025.8808157,0,0,0,0
51129,939.132774,5,0,0,5
51140,964.3386112,9,0,0,9
51141,367.94165,4.6,0,0,4.6
51204,778.5310207,0,0,0,0
51228,174.208923,5,0,0,5
51375,237.5257565,0,0,0,0
51447,78.1301876000001,9.6,0,0,9.6
51448,91.3856197000001,0,0,0,0
51752,813.5557095,0,0,0,0
52075,994.3752171,4.7,0,0,4.7
52076,1000.4566017,3.9,0,0,3.9
52082,1024.5772619,0,0,0,0
52128,808.2306515,4,0,0,4
52129,934.8516689,0,0,0,0
52130,966.9636952,7.7,0,0,7.7
52141,936.1368786,4.5,0,0,4.5
52142,995.9509789,3.9,0,0,3.9
52143,267.4723507,0,0,0,0
52221,198.4252926,6.6,0,0,6.6
52424,784.2047268,0,0,0,0
52745,789.7904965,0,0,0,0
52746,787.3917538,0,0,0,0
52989,997.4313236,5.6,0,0,5.6
52990,1013.4402147,14.6,0,0,14.6
52996,730.540588,10,0,0,10
52998,713.9607235,0,0,0,0
53049,793.0090481,9.7,0,0,9.7
53050,895.0076901,0,0,0,0
53051,958.0706554,0,0,0,0
53052,948.5335003,0,0,0,0
53063,928.1726605,5.2,0,0,5.2
53064,971.8146816,7.3,0,0,7.3
53065,970.6528507,4,0,0,4
53122,692.1398312,12.5,0,0,12.5
53132,765.215057,0,0,0,0
53133,1025.8208727,0,0,0,0
53147,289.6905514,0,0,0,0
53274,279.8107906,0,0,0,0
53393,772.014465,0,0,0,0
53916,948.6116558,5.1,0,0,5.1
53917,984.8331753,8.3,0,0,8.3
53969,525.7950741,7.5,0,0,7.5
53970,743.1426388,0,0,0,0
53977,125.4738155,5,0,0,5
54172,226.1956783,11,0,0,11
54468,906.5405575,0,0,0,0
54757,1011.1465031,9.3,0,0,9.3
54778,980.8844791,0,0,0,0
54779,1001.4225117,0,0,0,0
54803,958.6610714,3.6,0,0,3.6
54804,924.8883129,0,0,0,0
54815,948.1519848,0,0,0,0
54869,785.0903927,0,0,0,0
54877,3.73944050000011,0,0,0,0
54921,699.2563473,0,0,0,0
55040,419.3319088,0,0,0,0
55386,1009.920178,0,0,0,0
55703,994.7008949,4.5,0,0,4.5
55704,926.5970989,3.5,0,0,3.5
55705,1016.5829454,0,0,0,0
55706,1018.5493885,0,0,0,0
55716,1024.8858489,6.3,0,0,6.3
55717,1025.772099,4.8,0,0,4.8
55718,1021.7643753,0,0,0,0
55719,1025.8645296,0,0,0,0
55727,803.8802181,0,0,0,0
55756,911.8157574,0,0,0,0
55757,948.6335064,0,0,0,0
55758,923.5938641,4.5,0,0,4.5
55819,404.3898922,8.5,0,0,8.5
55820,669.9184567,9,0,0,9
55821,777.2736202,0,0,0,0
55822,847.5628353,0,0,0,0
55837,651.6889034,0,0,0,0
55838,967.5869824,3.1,0,0,3.1
55993,149.7118527,10.6,0,0,10.6
55994,118.6868893,8.3,0,0,8.3
55995,34.0310055000001,0,0,0,0
56574,1017.4976612,3.6,0,0,3.6
56585,1019.5805946,0,0,0,0
56624,881.6512295,7.6,0,0,7.6
56625,893.234222,0,0,0,0
56626,944.0445934,5,0,0,5
56627,948.4617153,0,0,0,0
56628,869.7722775,7.8,0,0,7.8
56638,963.3914791,6.1,0,0,6.1
56639,1007.5756355,4.6,0,0,4.6
56640,328.8319698,0,0,0,0
56701,834.9072109,10,0,0,10
56721,281.0756222,0,0,0,0
56722,169.807861,5.4,0,0,5.4
56998,809.9867703,0,0,0,0
57492,980.2717091,5.2,0,0,5.2
57504,1020.2976705,0,0,0,0
57505,1023.9978245,0,0,0,0
57506,1015.0402371,0,0,0,0
57518,930.0585323,0,0,0,0
57545,895.21759,6.7,0,0,6.7
57546,956.1105496,0,0,0,0
57547,964.4261662,0,0,0,0
