"subc","nodes","x_coord","y_coord"
25,507,-157.757081697362,21.2902284880543
25,508,-157.757019040696,21.2901507785356
25,509,-157.756781409235,21.2901973391359
25,510,-157.756781409235,21.2901973391359
25,511,-157.756659823592,21.2902302390344
25,512,-157.756659823592,21.2902302390344
25,513,-157.756543420742,21.290237833809
25,514,-157.756462426899,21.290459889912
25,515,-157.756474107294,21.2903344497751
25,516,-157.756477079554,21.2902319648334
25,517,-157.756477079554,21.2902319648334
25,518,-157.756478162337,21.2901946609549
26,519,-157.751903696898,21.2831595640627
26,520,-157.75216850857,21.2831004039605
26,521,-157.752364267597,21.2830585630023
26,522,-157.752364267597,21.2830585630023
26,523,-157.752511239302,21.2830185440706
26,524,-157.752511239302,21.2830185440706
26,525,-157.752853910679,21.282861074579
26,526,-157.752936888427,21.2828297502928
26,527,-157.752936888427,21.2828297502928
27,528,-157.757654925235,21.2917501166746
27,529,-157.757646686545,21.2915242150705
27,530,-157.757627517496,21.2914031753164
27,531,-157.757606025498,21.2913027129499
27,532,-157.757606025498,21.2913027129499
27,533,-157.757503649374,21.2908241558102
27,534,-157.75750820444,21.2906708798573
27,535,-157.757474153409,21.2907025117116
27,536,-157.757474153409,21.2907025117116
27,537,-157.757474153409,21.2907025117116
27,538,-157.757281413406,21.2906885524348
27,539,-157.757281413406,21.2906885524348
27,540,-157.757054852599,21.2911470510956
27,541,-157.75710813833,21.2906718475278
27,542,-157.75710813833,21.2906718475278
27,543,-157.75710813833,21.2906718475278
27,544,-157.75697175794,21.2907708179189
27,545,-157.75697175794,21.2907708179189
27,546,-157.756712265758,21.2907132747978
27,547,-157.756712265758,21.2907132747978
27,548,-157.756486550314,21.2906585114812
27,549,-157.756435435547,21.2905924769613
27,550,-157.756097742817,21.291273039819
27,551,-157.756420280172,21.2906419028016
27,552,-157.756420280172,21.2906419028016
27,553,-157.756396982335,21.2907178784274
27,554,-157.756208930498,21.2911083145971
27,555,-157.75629332108,21.2909578885958
27,556,-157.756347042982,21.2908504322018
28,557,-157.75120746875,21.2863595479548
28,558,-157.75131703855,21.2864666041505
28,559,-157.75142235186,21.2865454171373
28,560,-157.751544890784,21.2866182055658
28,561,-157.751669595276,21.2866829288741
28,562,-157.751764230035,21.2867133214627
28,563,-157.751856716314,21.2867416941739
28,564,-157.751932169434,21.286760007968
28,565,-157.751932169434,21.286760007968
28,566,-157.750454417837,21.2843352927396
28,567,-157.750454417837,21.2843352927396
28,568,-157.750772851586,21.2847037296934
28,569,-157.750772851586,21.2847037296934
28,570,-157.75094693965,21.2848868199708
28,571,-157.75094693965,21.2848868199708
28,572,-157.750470085826,21.2841891349207
28,573,-157.75113665793,21.2849456877933
28,574,-157.75113665793,21.2849456877933
28,575,-157.751413846072,21.2849526161704
28,576,-157.751392667038,21.284883483486
28,577,-157.751392667038,21.284883483486
28,578,-157.751392667038,21.284883483486
28,579,-157.751392667038,21.284883483486
28,580,-157.752552014564,21.2864886501312
28,581,-157.752552014564,21.2864886501312
28,582,-157.751380254595,21.2848414626634
28,583,-157.752574140584,21.2864311528755
28,584,-157.752574140584,21.2864311528755
28,585,-157.752690029022,21.2865102545447
28,586,-157.752439030937,21.2859901487265
28,587,-157.752660131959,21.2863852973437
28,588,-157.752660131959,21.2863852973437
28,589,-157.752660131959,21.2863852973437
28,590,-157.752509571959,21.2859623569772
28,591,-157.752509571959,21.2859623569772
28,592,-157.752509571959,21.2859623569772
28,593,-157.752509571959,21.2859623569772
28,594,-157.752374867906,21.2857177117031
28,595,-157.752413471305,21.285687228283
28,596,-157.752413471305,21.285687228283
28,597,-157.752413471305,21.285687228283
28,598,-157.752413471305,21.285687228283
28,599,-157.75267681888,21.2860668492058
28,600,-157.75248983274,21.2856912986146
28,601,-157.75228483138,21.2853299591104
28,602,-157.75228483138,21.2853299591104
28,603,-157.752210090523,21.2846877541366
28,604,-157.752210090523,21.2846877541366
28,605,-157.752210090523,21.2846877541366
28,606,-157.75245503797,21.2851226869625
28,607,-157.752430256251,21.2850120919346
28,608,-157.752430256251,21.2850120919346
28,609,-157.752430256251,21.2850120919346
28,610,-157.752236589047,21.2844307216006
28,611,-157.752236589047,21.2844307216006
28,612,-157.752236589047,21.2844307216006
28,613,-157.75231236952,21.2845923180811
28,614,-157.75231236952,21.2845923180811
28,615,-157.752340109109,21.2846468772516
28,616,-157.75302922272,21.28412704123
28,617,-157.75302922272,21.28412704123
28,618,-157.753373855519,21.2839878333718
28,619,-157.753456533792,21.2839527220406
28,620,-157.753456533792,21.2839527220406
28,621,-157.753441579865,21.2839204067014
28,622,-157.753441579865,21.2839204067014
28,623,-157.754627109354,21.2836536426016
28,624,-157.753524168206,21.2838896049214
28,625,-157.753621897533,21.2838494016286
28,626,-157.754586371864,21.2836447213269
28,627,-157.754586371864,21.2836447213269
28,628,-157.754137461774,21.2837973623584
28,629,-157.754137461774,21.2837973623584
28,630,-157.75386915174,21.2837513305595
28,631,-157.75386915174,21.2837513305595
28,632,-157.75403212868,21.2837737650473
28,633,-157.753904393473,21.283754241665
28,634,-157.754199184045,21.2837719034507
28,635,-157.754528741508,21.2836365509861
28,636,-157.754528741508,21.2836365509861
28,637,-157.754528741508,21.2836365509861
28,638,-157.754535420773,21.2835946218943
28,639,-157.754393172307,21.2836920535455
29,640,-157.755982718628,21.2914449290403
29,641,-157.756000219435,21.2914187758558
29,642,-157.756000219435,21.2914187758558
29,643,-157.755938375755,21.2913784322689
29,644,-157.755486486212,21.2911218619844
30,645,-157.753676569118,21.2844282214853
30,646,-157.753676569118,21.2844282214853
30,647,-157.753771656237,21.2843926092316
30,648,-157.754591169747,21.2840716187103
30,649,-157.754519159232,21.2841010634134
30,650,-157.754519159232,21.2841010634134
31,651,-157.756502345107,21.291768224524
31,652,-157.756332282409,21.2918065806093
31,653,-157.756332282409,21.2918065806093
31,654,-157.755571955981,21.2923655452338
31,655,-157.755641120142,21.2921720839745
31,656,-157.755691060394,21.2920395302002
31,657,-157.755764008003,21.291871165422
31,658,-157.755959542199,21.2916244544051
31,659,-157.755833088526,21.2917278863329
31,660,-157.755900883019,21.2915982967241
31,661,-157.755900883019,21.2915982967241
